GT  ;Gaustatoppen    ;N;59;51;14;E; 8;39;00;8000
AB  ;Austabotntind   ;N;61;26;10;E; 7;47;41;3500
HUR ;Hurrungane      ;N;61;27;34;E; 7;50;45;10000
STOR;Storen          ;N;61;27;41;E; 7;52;26;7000
GP  ;Galdhoepiggen   ;N;61;38; 7;E; 8;18;46;6000
SNO ;Snohetta        ;N;62;19;11;E; 9;16;03;4000
ST  ;Stetind         ;N;68; 9;55;E;16;35;16;5000
MB  ;Mont Blanc      ;N;45;50;01;E; 6;51;54;8000
ER  ;Everest         ;N;27;59;16;E;86;55;31;10000
